seed,local_position,dataset_index,source_parquet,source_row,failure_reason,original_smiles,original_canon_smiles,generated_name,opsin_raw_smiles,opsin_canon_smiles
42,21,data/train-00811-of-01212.parquet:52035,data/train-00811-of-01212.parquet,52035,opsin - name is not recognized,Cc1cc[nH]c1C(=O)NC[C@H]1[C@@H]2CN(C(=O)[C@H](O)c3cn(C)nc3C)C[C@H]12,Cc1cc[nH]c1C(=O)NC[C@@H]1[C@H]2CN(C(=O)C(O)c3cn(C)nc3C)C[C@@H]12,"N-(((1R,5S,6S)-3-((2R)-2-(1,3-dimethyl-1H-pyrazol-4-yl)-2-hydroxy-acetyl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)-3-methyl-1H-pyrrole-2-carboxamide",,
42,51,data/train-00811-of-01212.parquet:552061,data/train-00811-of-01212.parquet,552061,opsin smiles mismatch,CN(C[C@@]1(O)CCCN(C(=O)[C@H]2CC23CC3)C1)C(=O)c1cscc1C(F)(F)F,CN(C[C@@]1(O)CCCN(C(=O)C2CC23CC3)C1)C(=O)c1cscc1C(F)(F)F,N-(((3S)-3-hydroxy-1-((1S)-spiro[2.2]pentan-1-ylmethyl)piperidin-3-yl)carbonyl)-N-methyl-4-(trifluoromethyl)thiophene-3-carboxamide,O[C@@]1(CN(CCC1)C[C@H]1CC12CC2)C(=O)N(C(=O)C2=CSC=C2C(F)(F)F)C,CN(C(=O)c1cscc1C(F)(F)F)C(=O)[C@]1(O)CCCN(C[C@H]2CC23CC3)C1
42,62,data/train-00811-of-01212.parquet:780132,data/train-00811-of-01212.parquet,780132,opsin - name is not recognized,Cc1ccc(=NCCC(=O)N2CC3(CCN(C(=O)[C@@H]4[C@H]5CCCC[C@H]54)C3)C2)[nH]c1,Cc1ccc(NCCC(=O)N2CC3(CCN(C(=O)C4[C@H]5CCCC[C@@H]45)C3)C2)nc1,"1-(6-(((1R,6S,7R)-bicyclo[4.1.0]heptan-7-yl)carbonyl)-2,6-diazaspiro[3.4]octan-2-yl)-3-((5-methyl-1-azacyclohexa-3,5-dien-2-ylidene)amino)propan-1-one",,
42,93,data/train-00811-of-01212.parquet:494610,data/train-00811-of-01212.parquet,494610,opsin smiles mismatch,Cc1cc(F)cnc1C(=O)NCC1(CNC(=O)[C@H](C2CC2)S(C)(=O)=O)CC1,Cc1cc(F)cnc1C(=O)NCC1(CNC(=O)C(C2CC2)S(C)(=O)=O)CC1,N-((1-((1S)-(cyclopropyl)(methylsulfonyl)methylcarbonylaminomethyl)cyclopropyl)methyl)-5-fluoro-3-methylpyridine-2-carboxamide,C1(CC1)[C@@H](C1(CC1)CNC(=O)C1=NC=C(C=C1C)F)NC(=O)CS(=O)(=O)C,Cc1cc(F)cnc1C(=O)NCC1([C@@H](NC(=O)CS(C)(=O)=O)C2CC2)CC1
42,96,data/train-00811-of-01212.parquet:311694,data/train-00811-of-01212.parquet,311694,opsin - name is not recognized,CN1CCC[C@H](CC(=O)NCCN(C(=O)[C@@H](c2cccnc2)N(C)C)C2CC2)C1,CN1CCC[C@H](CC(=O)NCCN(C(=O)C(c2cccnc2)N(C)C)C2CC2)C1,N-(2-(((1R)-(dimethylamino)(pyridin-3-yl)acetyl)(cyclopropyl)amino)ethyl)-2-((3R)-1-methylpiperidin-3-yl)acetamide,,
42,102,data/train-00811-of-01212.parquet:20669,data/train-00811-of-01212.parquet,20669,opsin smiles mismatch,Cc1cc(Br)ccc1C(=O)N[C@H]1C[C@@](C)(NC(=O)COC2CCOCC2)C1,Cc1cc(Br)ccc1C(=O)N[C@H]1C[C@@](C)(NC(=O)COC2CCOCC2)C1,4-bromo-2-methyl-N-(3-methyl-3-(((oxan-4-yl)oxy)methylcarbonylamino)cyclobutyl)benzamide,BrC1=CC(=C(C(=O)NC2CC(C2)(NC(=O)COC2CCOCC2)C)C=C1)C,Cc1cc(Br)ccc1C(=O)NC1CC(C)(NC(=O)COC2CCOCC2)C1
42,119,data/train-00811-of-01212.parquet:608569,data/train-00811-of-01212.parquet,608569,opsin - name is not recognized,O=C(c1cccnc1O)N(c1ncnc2ccc(F)cc12)[C@H]1C[C@@H]2CC[C@H](C1)N2,O=C(c1ccc[nH]c1=O)N(c1ncnc2ccc(F)cc12)[C@@H]1C[C@H]2CC[C@@H](C1)N2,"N-((1R,3S,5S)-8-azabicyclo[3.2.1]octan-3-yl)-N-(8-fluoro-2,4-diazabicyclo[4.4.0]deca-1,3,5,7,9-pentaen-5-yl)-2-hydroxypyridine-3-carboxamide",,
42,128,data/train-00811-of-01212.parquet:470582,data/train-00811-of-01212.parquet,470582,opsin smiles mismatch,O=C(COC1CC1)N[C@H]1C[C@@](NC(=O)c2ccc(O)c(F)c2)(c2ccccc2)C1,O=C(COC1CC1)N[C@H]1C[C@@](NC(=O)c2ccc(O)c(F)c2)(c2ccccc2)C1,2-(cyclopropoxy)-N-(3-(3-fluoro-4-hydroxyphenylcarbonylamino)-3-phenylcyclobutyl)acetamide,C1(CC1)OCC(=O)NC1CC(C1)(C1=CC=CC=C1)NC(=O)C1=CC(=C(C=C1)O)F,O=C(COC1CC1)NC1CC(NC(=O)c2ccc(O)c(F)c2)(c2ccccc2)C1
42,177,data/train-00811-of-01212.parquet:549966,data/train-00811-of-01212.parquet,549966,opsin smiles mismatch,CCSc1ccc(C(=O)NC[C@]2(F)C[C@H](CNC(=O)C[C@H]3CCC(=O)O3)C2)cc1,CCSc1ccc(C(=O)NC[C@]2(F)C[C@H](CNC(=O)C[C@H]3CCC(=O)O3)C2)cc1,4-(ethylsulfanyl)-N-((1-fluoro-3-(((2R)-5-oxooxolan-2-yl)methylcarbonylaminomethyl)cyclobutyl)methyl)benzamide,C(C)SC1=CC=C(C(=O)NCC2(CC(C2)CNC(=O)C[C@@H]2OC(CC2)=O)F)C=C1,CCSc1ccc(C(=O)NCC2(F)CC(CNC(=O)C[C@H]3CCC(=O)O3)C2)cc1
42,219,data/train-00811-of-01212.parquet:851920,data/train-00811-of-01212.parquet,851920,opsin - name is not recognized,N=c1nc(CCC(=O)NC[C@H]2C[C@@H]3CC[C@H](C2)N3C(=O)CCC(F)(F)F)[nH][nH]1,Nc1n[nH]c(CCC(=O)NC[C@@H]2C[C@H]3CC[C@@H](C2)N3C(=O)CCC(F)(F)F)n1,"3-(5-imino-1,2,4-triazacyclopent-3-en-3-yl)-N-(((1R,3S,5S)-8-(4,4,4-trifluoro-butyryl)-8-azabicyclo[3.2.1]octan-3-yl)methyl)propanamide",,
